Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q
1717188604.2822003,-1.8666666666666667,-2.24,38.013333333333335,-2.073170731707317,0.12195121951219513,0.7926829268292683,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04896175 -0.0587541  -0.99707106],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01507112 -0.00155192 -0.0428194   0.99896794]
1717188604.3077166,-1.8666666666666667,-2.226666666666667,37.973333333333336,-1.6463414634146343,0.0,0.12195121951219513,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04901403 -0.05846673 -0.99708539],0,0,0.0,0.0,-0.0,[0 0 0 1],[-4.48994369e-03  1.45056642e-04 -3.69615610e-02  9.99306591e-01]
1717188604.3339562,-1.84,-2.2133333333333334,38.0,-1.3414634146341464,-0.1829268292682927,0.1829268292682927,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04828275 -0.05807925 -0.99714371],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00421766  0.00345412 -0.03058761  0.99951722]
1717188604.362984,-1.8666666666666667,-2.186666666666667,38.0,-1.4634146341463417,-0.24390243902439027,0.12195121951219513,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04898281 -0.05737986 -0.99715006],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00294364  0.00512718 -0.03189286  0.99947381]
1717188604.3880217,-1.8666666666666667,-2.24,38.0,-1.707317073170732,0.0,0.30487804878048785,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04897883 -0.05877459 -0.99706902],0,0,0.0,0.0,-0.0,[0 0 0 1],[-5.95613999e-03  6.44573603e-04 -3.65016563e-02  9.99315635e-01]
1717188604.4149568,-1.84,-2.226666666666667,37.98666666666667,-1.8902439024390245,0.12195121951219513,0.6097560975609757,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.01466275659824047,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04829861 -0.05844832 -0.99712138],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01206339 -0.00237758 -0.04030408  0.99911181]
1717188604.4419928,-1.8800000000000001,-2.226666666666667,38.0,-1.2804878048780488,-0.30487804878048785,-0.06097560975609757,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.01466275659824047,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04932884 -0.05842494 -0.99707231],0,0,0.0,0.0,-0.0,[0 0 0 1],[-8.78626109e-04  5.74488659e-03 -2.98925922e-02  9.99536221e-01]
1717188604.468992,-1.8533333333333335,-2.24,38.0,-1.9512195121951221,0.1829268292682927,0.7926829268292683,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04862981 -0.0587756  -0.99708604],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01448272 -0.00297939 -0.04041768  0.99907346]
1717188604.4959655,-1.8666666666666667,-2.2133333333333334,38.013333333333335,-1.707317073170732,0.1829268292682927,0.426829268292683,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04896375 -0.05805702 -0.9971118 ],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00999666 -0.00370219 -0.03768429  0.99923283]
1717188604.5229735,-1.8533333333333335,-2.2533333333333334,38.0,-2.1341463414634148,-0.06097560975609757,0.5487804878048781,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04862881 -0.05912423 -0.99706548],0,0,0.0,0.0,-0.0,[0 0 0 1],[-1.17269565e-02  6.15178004e-04 -4.46553770e-02  9.98933430e-01]
