Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q
1717188576.714442,-1.8533333333333335,-2.2133333333333334,37.92,-1.6463414634146343,0.12195121951219513,0.48780487804878053,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04873381 -0.05820009 -0.99711472],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00973386 -0.00233894 -0.03633139  0.99928965]
1717188576.7433894,-1.8933333333333335,-2.146666666666667,37.906666666666666,-2.3170731707317076,0.3658536585365854,0.7317073170731708,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04980545 -0.05646956 -0.99716127],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01461499 -0.00709968 -0.04754219  0.99873707]
1717188576.7662704,-1.8666666666666667,-2.1733333333333333,37.906666666666666,-1.4634146341463417,-0.06097560975609757,0.48780487804878053,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04910371 -0.05717075 -0.99715612],0,0,0.0,0.0,-0.0,[0 0 0 1],[-1.15050940e-02  9.15287776e-05 -3.42148814e-02  9.99348271e-01]
1717188576.7932878,-1.8800000000000001,-2.16,37.906666666666666,-1.707317073170732,0.0,0.426829268292683,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04945459 -0.05682016 -0.99715882],0,0,0.0,0.0,-0.0,[0 0 0 1],[-9.61396145e-03  1.07268923e-04 -3.67826330e-02  9.99277038e-01]
1717188576.8204029,-1.8933333333333335,-2.1333333333333333,37.89333333333334,-1.4634146341463417,-0.3658536585365854,0.1829268292682927,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04982386 -0.05613956 -0.99717899],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00506667  0.00702597 -0.03270575  0.99942749]
1717188576.8473003,-1.7066666666666668,-2.1733333333333333,37.906666666666666,-2.0121951219512195,0.426829268292683,0.7317073170731708,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04490371 -0.05718206 -0.99735343],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01370727 -0.00714396 -0.04190662  0.99900196]
1717188576.8743258,-1.8800000000000001,-2.1333333333333333,37.906666666666666,-1.4634146341463417,-0.12195121951219513,0.06097560975609757,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04945655 -0.0561209  -0.99719832],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00340989  0.00159548 -0.0335003   0.99943162]
1717188576.9013324,-1.8933333333333335,-2.146666666666667,37.906666666666666,-1.707317073170732,-0.3658536585365854,0.3658536585365854,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04980545 -0.05646956 -0.99716127],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00749545  0.00693828 -0.03664482  0.99927616]
1717188576.928469,-1.8666666666666667,-2.16,37.906666666666666,-1.2804878048780488,-0.24390243902439027,0.12195121951219513,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.01466275659824047,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04910469 -0.05682115 -0.99717606],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00338232  0.00569836 -0.02942107  0.99954514]
1717188576.9554691,-1.9066666666666667,-2.16,37.906666666666666,-1.8902439024390245,0.30487804878048785,0.7317073170731708,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.05015432 -0.05681818 -0.99712398],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01367717 -0.00512525 -0.03930478  0.99912051]
1717188576.9824345,-1.8666666666666667,-2.16,37.89333333333334,-1.5853658536585367,0.24390243902439027,0.24390243902439027,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04912188 -0.05684103 -0.99717408],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00650338 -0.00507862 -0.03538341  0.99933975]
1717188577.009453,-1.8933333333333335,-2.1733333333333333,37.92,-1.3414634146341464,-0.12195121951219513,0.1829268292682927,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04978606 -0.05714878 -0.99712355],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.0045942   0.00160932 -0.03034648  0.99952759]
1717188577.0368848,-1.9066666666666667,-2.1733333333333333,37.92,-2.25609756097561,0.06097560975609757,0.5487804878048781,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.05013578 -0.05714778 -0.99710608],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01063575 -0.00101079 -0.04577083  0.99889483]
1717188577.0634785,-1.84,-2.186666666666667,37.906666666666666,-1.5853658536585367,0.0,0.426829268292683,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.01466275659824047,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04840291 -0.0575223  -0.99717017],0,0,0.0,0.0,-0.0,[0 0 0 1],[-9.54919992e-03 -1.94942595e-04 -3.62463424e-02  9.99297242e-01]
1717188577.090554,-1.8933333333333335,-2.146666666666667,37.92,-1.707317073170732,-0.30487804878048785,0.12195121951219513,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04978804 -0.05644982 -0.99716326],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00385654  0.00589298 -0.03703519  0.99928914]
1717188577.1175897,-1.8666666666666667,-2.2,37.89333333333334,-1.707317073170732,0.1829268292682927,0.426829268292683,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04911891 -0.05789014 -0.99711387],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00820774 -0.00274768 -0.03723456  0.99926907]
